testing: 12 threads
running ans_2opt_omp2
Working on ../as_1/dis_dir/test11.dis
OpenMP version of ans_2opt_sp11.c
* Balanced search space division/Proper/Partial distance compare/Copy when swapping
* OpenMP Distributed route/Free to swap/Contention pause
Using  12 threads
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  3:30 = 226665094518.535645
Distance @  4:00 = 211237195354.552917
Distance @  4:00 = 211225508954.667603
Distance @  4:00 = 211207637698.128052
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:00 = 211210513332.548462
Distance @  4:30 = 198670467029.447052
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  4:30 = 198664498395.197113
Distance @  5:00 = 188224867978.110229
Distance @  5:00 = 188216851704.808167
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:00 = 188216137758.216553
Distance @  5:30 = 178959521683.894104
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
Distance @  5:30 = 178957104164.322327
